"0" "1" "2" "3" "4" "5" "6" "7" "8"
"Ccar2" 0.0268456375838926 0.0274509803921569 0.0465116279069767 0.0549450549450549 0.0112359550561798 0 0 0.0833333333333333 0
"Pex12" 0.0201342281879195 0.00784313725490196 0.0387596899224806 0.0439560439560439 0 0.0181818181818182 0 0.0277777777777778 0.181818181818182
"Phf3" 0.114093959731544 0.00392156862745098 0.116279069767442 0.0879120879120879 0.123595505617978 0.0363636363636364 0.0754716981132075 0.0833333333333333 0.181818181818182
"Sox8" 0.00671140939597315 0.00392156862745098 0.0852713178294574 0.021978021978022 0 0.0181818181818182 0 0.0833333333333333 0
"Pcbp2" 0.0973154362416107 0.0313725490196078 0.0852713178294574 0.0989010989010989 0.112359550561798 0.0909090909090909 0.0754716981132075 0.0555555555555556 0.181818181818182
"Golph3" 0.281879194630872 0.109803921568627 0.348837209302326 0.252747252747253 0.168539325842697 0.236363636363636 0.0754716981132075 0.111111111111111 0.181818181818182
"Tnnt2" 0.251677852348993 0.0823529411764706 0.224806201550388 0.010989010989011 0 0.0181818181818182 0 0.166666666666667 0
"Ankrd13d" 0 0 0.00775193798449612 0 0.0337078651685393 0.0181818181818182 0 0 0
"Luc7l3" 0.151006711409396 0.0235294117647059 0.186046511627907 0.263736263736264 0.134831460674157 0.145454545454545 0.0754716981132075 0.111111111111111 0.363636363636364
"Ypel3" 0.516778523489933 0.168627450980392 0.488372093023256 0.472527472527473 0.359550561797753 0.290909090909091 0.0377358490566038 0.25 0.545454545454545
"Mapk8" 0.087248322147651 0.00784313725490196 0.124031007751938 0.0769230769230769 0.0337078651685393 0.0363636363636364 0.113207547169811 0.0555555555555556 0.181818181818182
"Dlg2" 0.0436241610738255 0.0196078431372549 0.0775193798449612 0.010989010989011 0 0.0363636363636364 0.0377358490566038 0.166666666666667 0
"Amn1" 0.110738255033557 0.0117647058823529 0.0775193798449612 0.142857142857143 0.0898876404494382 0.0545454545454545 0.320754716981132 0.138888888888889 0.0909090909090909
"Prss23" 0.721476510067114 0.101960784313725 0.0155038759689922 0.56043956043956 0 0.0909090909090909 0.0188679245283019 0.166666666666667 2.45454545454545
"Pgap3" 0.00335570469798658 0 0.00775193798449612 0 0.0112359550561798 0 0 0 0
"Mcm3ap" 0.0201342281879195 0.0156862745098039 0.062015503875969 0.0659340659340659 0.0337078651685393 0.0181818181818182 0 0 0
"Znhit6" 0.023489932885906 0.0588235294117647 0.0930232558139535 0.0549450549450549 0.0112359550561798 0.218181818181818 0 0.0277777777777778 0
"Ndufb5" 0.36241610738255 0.223529411764706 0.37984496124031 0.450549450549451 0.415730337078652 0.254545454545455 0.0754716981132075 0.222222222222222 0.454545454545455
"Ramp2" 0.48993288590604 0.549019607843137 1.18604651162791 4.01098901098901 0.0112359550561798 0.254545454545455 0.584905660377358 0.638888888888889 0
"Camk2g" 0.0604026845637584 0.0470588235294118 0.0155038759689922 0.120879120879121 0.0112359550561798 0.0545454545454545 0.0377358490566038 0.111111111111111 0
"Ccdc50" 0.134228187919463 0.0941176470588235 0.232558139534884 0.241758241758242 0.179775280898876 0.2 0.226415094339623 0.0833333333333333 0.0909090909090909
"Rad17" 0.0436241610738255 0 0.0387596899224806 0.0659340659340659 0.0561797752808989 0.0545454545454545 0 0 0.0909090909090909
"Rps27a" 0.85234899328859 1.6078431372549 1.25581395348837 1.46153846153846 1.37078651685393 1.07272727272727 0.735849056603774 1.11111111111111 0.818181818181818
"Sardh" 0.0369127516778524 0.0235294117647059 0.0542635658914729 0 0 0.0545454545454545 0.0943396226415094 0.0277777777777778 0
"Lss" 0.00671140939597315 0 0.0232558139534884 0.021978021978022 0.0224719101123595 0 0 0 0
"Hibadh" 0.171140939597315 0.101960784313725 0.217054263565891 0.186813186813187 0.123595505617978 0.2 0.0377358490566038 0.0833333333333333 0
"Ssbp2" 0.275167785234899 0.0117647058823529 0.193798449612403 0.10989010989011 0.0337078651685393 0.127272727272727 0.169811320754717 0.416666666666667 0.181818181818182
"2410002F23Rik" 0.023489932885906 0.0117647058823529 0.0542635658914729 0.0659340659340659 0.0224719101123595 0.0181818181818182 0.0188679245283019 0.0277777777777778 0
"Josd2" 0.120805369127517 0.0431372549019608 0.147286821705426 0.120879120879121 0.0561797752808989 0.0363636363636364 0.0754716981132075 0.138888888888889 0.181818181818182
"Tcf3" 0.12751677852349 0.0313725490196078 0.0852713178294574 0.208791208791209 0.0224719101123595 0.0909090909090909 0.0188679245283019 0.138888888888889 0.0909090909090909
"Vmn1r214" 0.0201342281879195 0 0 0.010989010989011 0.0112359550561798 0 0.0377358490566038 0 0
"Atf2" 0.063758389261745 0.0274509803921569 0.0775193798449612 0.131868131868132 0.0337078651685393 0.0545454545454545 0.0566037735849057 0.0555555555555556 0.272727272727273
"Togaram1" 0.0604026845637584 0.00392156862745098 0.0465116279069767 0.032967032967033 0.0112359550561798 0.0363636363636364 0.0188679245283019 0.0555555555555556 0.0909090909090909
"Ankrd33b" 0.0201342281879195 0.00784313725490196 0.0310077519379845 0.21978021978022 0.0561797752808989 0 0.0566037735849057 0 0.181818181818182
"Hjurp" 0.0704697986577181 0.0117647058823529 0.10077519379845 0.131868131868132 0.0561797752808989 0.0909090909090909 0.0188679245283019 0.0277777777777778 0.363636363636364
"Sema4d" 0.0436241610738255 0.0392156862745098 0.0852713178294574 0.010989010989011 0.0786516853932584 0.0181818181818182 0.113207547169811 0.0277777777777778 0.181818181818182
"Ikzf2" 0.0503355704697987 0.00392156862745098 0.0387596899224806 0.032967032967033 0.0224719101123595 0.0727272727272727 0.132075471698113 0.0277777777777778 0.0909090909090909
"Ssr2" 0.476510067114094 0.211764705882353 0.310077519379845 0.472527472527473 0.325842696629213 0.509090909090909 0.132075471698113 0.166666666666667 0.727272727272727
"Ctdspl2" 0.100671140939597 0 0.0930232558139535 0.0989010989010989 0.112359550561798 0.145454545454545 0.113207547169811 0.0833333333333333 0
"Atp13a2" 0.0302013422818792 0.00392156862745098 0.0310077519379845 0.0989010989010989 0.247191011235955 0.0363636363636364 0.0754716981132075 0.0555555555555556 0
"Nmi" 0.0906040268456376 0.0784313725490196 0.263565891472868 0.230769230769231 0.101123595505618 0.0181818181818182 0.0188679245283019 0.0555555555555555 0
"Nmnat2" 0.00335570469798658 0 0.00775193798449612 0.032967032967033 0 0 0 0 0
"Smox" 0.0570469798657718 0.0196078431372549 0.0387596899224806 0.043956043956044 0.202247191011236 0.0181818181818182 0.0943396226415094 0 0
"Pan3" 0.151006711409396 0.0627450980392157 0.186046511627907 0.549450549450549 0.303370786516854 0.309090909090909 0.39622641509434 0.583333333333333 0.272727272727273
"Gart" 0.0771812080536913 0.00392156862745098 0.062015503875969 0.043956043956044 0.0674157303370786 0.0363636363636364 0.0377358490566038 0.0555555555555556 0.0909090909090909
"Ube2m" 0.134228187919463 0.0196078431372549 0.116279069767442 0.186813186813187 0.0898876404494382 0.0909090909090909 0 0 0
"Agap2" 0.0201342281879195 0 0 0 0 0 0 0 0
"2610002M06Rik" 0.0369127516778523 0.00784313725490196 0.0542635658914729 0.0769230769230769 0.0224719101123595 0 0 0.0277777777777778 0.0909090909090909
"Srsf11" 0.251677852348993 0.164705882352941 0.271317829457364 0.406593406593407 0.157303370786517 0.181818181818182 0.320754716981132 0.277777777777778 0.272727272727273
"Atp5h" 0.818791946308725 1.25882352941176 0.961240310077519 1.27472527472527 0.685393258426966 0.690909090909091 0.452830188679245 0.777777777777778 0.636363636363636
"Cd34" 1.3993288590604 1.37647058823529 0.992248062015504 1.72527472527473 0.0674157303370786 0.854545454545454 0.830188679245283 0.75 1.54545454545455
