"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
"Ccdc114" 0.0411764705882353 0.11038961038961 0.203703703703704 0.166666666666667 0.113636363636364 0.404761904761905 0.072463768115942 0.176470588235294 0.146341463414634 0.205128205128205 0.128205128205128 0.105263157894737 0.12
"Eml2" 0.0882352941176471 0.0324675324675325 0.0462962962962963 0.0729166666666667 0.147727272727273 0 0.115942028985507 0.117647058823529 0.121951219512195 0 0.0769230769230769 0.0263157894736842 0.12
"Pfdn6" 0.0823529411764706 0.214285714285714 0.287037037037037 0.302083333333333 0.204545454545455 0 0.289855072463768 0.215686274509804 0.341463414634146 0.461538461538462 0.307692307692308 0.263157894736842 0.36
"Cep128" 0.00588235294117647 0.038961038961039 0.0462962962962963 0.03125 0.0340909090909091 0.0357142857142857 0.072463768115942 0.0392156862745098 0.0487804878048781 0 0.0512820512820513 0 0
"Nek1" 0.0176470588235294 0.0714285714285714 0.0925925925925926 0.0416666666666667 0.0568181818181818 0 0.072463768115942 0.0392156862745098 0.0975609756097561 0.0256410256410256 0.0769230769230769 0 0.28
"Armc2" 0.0294117647058824 0.0324675324675325 0.0277777777777778 0.0208333333333333 0.0113636363636364 0 0.0144927536231884 0 0 0.0256410256410256 0 0 0
"Ccar2" 0.0470588235294118 0.0194805194805195 0.0648148148148148 0.0833333333333333 0.0795454545454545 0 0.0579710144927536 0.0392156862745098 0.0975609756097561 0 0.0512820512820513 0.184210526315789 0.16
"Pex12" 0.0176470588235294 0.012987012987013 0.0185185185185185 0.0208333333333333 0.0454545454545454 0 0 0 0.024390243902439 0.0512820512820513 0.0256410256410256 0 0
"Phf3" 0.0764705882352941 0.168831168831169 0.333333333333333 0.354166666666667 0.272727272727273 0.0476190476190476 0.434782608695652 0.176470588235294 0.146341463414634 0.230769230769231 0.179487179487179 0.0263157894736842 0.16
"Sox8" 0.0529411764705882 0.025974025974026 0 0.03125 0.0113636363636364 0 0.0869565217391304 0 0.0487804878048781 0 0.0769230769230769 0.0263157894736842 0.08
"Pcbp2" 0.0823529411764706 0.24025974025974 0.212962962962963 0.177083333333333 0.227272727272727 0.0952380952380952 0.27536231884058 0.156862745098039 0.0975609756097561 0.333333333333333 0.282051282051282 0.131578947368421 0.04
"Golph3" 0.411764705882353 0.74025974025974 0.62962962962963 0.75 0.590909090909091 0.0833333333333333 0.985507246376812 0.156862745098039 0.463414634146341 0.41025641025641 0.666666666666667 0.105263157894737 0.4
"Tnnt2" 2.15294117647059 0.0714285714285714 0.00925925925925926 0.260416666666667 0.534090909090909 0.0476190476190476 0.333333333333333 0 0 0 0 0.0526315789473684 0
"Ankrd13d" 0.00588235294117647 0.00649350649350649 0.00925925925925926 0.0520833333333333 0.0113636363636364 0 0.0144927536231884 0 0.024390243902439 0 0 0 0
"Luc7l3" 0.152941176470588 0.12987012987013 0.259259259259259 0.28125 0.363636363636364 0.0714285714285714 0.072463768115942 0.254901960784314 0.365853658536585 0.282051282051282 0.384615384615385 0.131578947368421 0.28
"Ypel3" 1.05882352941176 1.12987012987013 1.17592592592593 0.78125 1.07954545454545 1.03571428571429 0.855072463768116 0.764705882352941 1.34146341463415 1.1025641025641 0.717948717948718 0.5 1.4
"Mapk8" 0.123529411764706 0.123376623376623 0.203703703703704 0.302083333333333 0.25 0.309523809523809 0.246376811594203 0.156862745098039 0.121951219512195 0.0512820512820513 0.307692307692308 0.210526315789474 0.2
"Dlg2" 0.0117647058823529 0.051948051948052 0.037037037037037 0.15625 0.0681818181818182 0.0357142857142857 0.072463768115942 0 0 0 0 0 0
"Amn1" 0.0823529411764706 0.181818181818182 0.148148148148148 0.1875 0.318181818181818 0.285714285714286 0.231884057971014 0.137254901960784 0.146341463414634 0.0769230769230769 0.0769230769230769 0.0789473684210526 0.16
"Prss23" 0.423529411764706 0.435064935064935 2.34259259259259 0.0208333333333333 0.954545454545455 0.19047619047619 0.159420289855072 0 0.024390243902439 0 4.35897435897436 0.315789473684211 2.64
"Pgap3" 0 0.00649350649350649 0 0.0104166666666667 0.0113636363636364 0 0 0.0392156862745098 0 0 0 0 0
"Mcm3ap" 0.0176470588235294 0.038961038961039 0.0648148148148148 0.114583333333333 0.0681818181818182 0.0476190476190476 0.0579710144927536 0 0 0.0769230769230769 0.0512820512820513 0 0
"Znhit6" 0.0294117647058823 0.0779220779220779 0.037037037037037 0.229166666666667 0.0795454545454545 0.0595238095238095 0.115942028985507 0.137254901960784 0.024390243902439 0.128205128205128 0.102564102564103 0.0526315789473684 0.12
"Ndufb5" 1.05882352941176 0.545454545454545 0.685185185185185 0.75 0.579545454545454 0.476190476190476 0.739130434782609 0.549019607843137 0.878048780487805 0.538461538461538 1.25641025641026 0.842105263157895 0.56
"Ramp2" 1.39411764705882 1.20779220779221 2.10185185185185 1.54166666666667 0.772727272727273 1.48809523809524 2.53623188405797 0.0196078431372549 7.78048780487805 0.0256410256410256 3.64102564102564 3.31578947368421 0.92
"Camk2g" 0.0588235294117647 0.0649350649350649 0.0833333333333333 0.104166666666667 0.0681818181818182 0 0.0579710144927536 0.0980392156862745 0.0731707317073171 0.0256410256410256 0.0769230769230769 0.263157894736842 0.04
"Ccdc50" 0.170588235294118 0.337662337662338 0.351851851851852 0.447916666666667 0.272727272727273 0.0714285714285714 0.72463768115942 0.117647058823529 0.121951219512195 0.282051282051282 0.256410256410256 0.0526315789473684 0.28
"Rad17" 0.0882352941176471 0.051948051948052 0.12037037037037 0.0625 0.0909090909090909 0.0476190476190476 0.173913043478261 0.156862745098039 0.0731707317073171 0.0512820512820513 0.102564102564103 0.131578947368421 0.12
"Rps27a" 2.98235294117647 2.41558441558442 2.12037037037037 2.875 1.96590909090909 2.09523809523809 3.52173913043478 5.19607843137255 3.78048780487805 2.12820512820513 3.15384615384615 2.92105263157895 1.76
"Sardh" 0.0117647058823529 0.0454545454545455 0.0555555555555556 0.135416666666667 0.159090909090909 0 0.144927536231884 0 0.0487804878048781 0.0256410256410256 0.0769230769230769 0.0526315789473684 0.12
"Lss" 0 0.012987012987013 0.0277777777777778 0.0416666666666667 0.0227272727272727 0 0.0144927536231884 0.0392156862745098 0 0.0256410256410256 0 0 0.08
"Hibadh" 0.211764705882353 0.298701298701299 0.259259259259259 0.3125 0.352272727272727 0.0357142857142857 0.536231884057971 0.176470588235294 0.219512195121951 0.153846153846154 0.282051282051282 0.263157894736842 0.44
"Ssbp2" 0.176470588235294 0.415584415584416 0.444444444444444 0.416666666666667 0.477272727272727 0.0357142857142857 0.507246376811594 0.0980392156862745 0.170731707317073 0.102564102564103 0.358974358974359 0.0263157894736842 0.36
"2410002F23Rik" 0.0176470588235294 0.0714285714285714 0.0740740740740741 0.15625 0.0681818181818182 0.0357142857142857 0.0869565217391304 0.156862745098039 0.146341463414634 0.0256410256410256 0.102564102564103 0.0263157894736842 0.04
"Josd2" 0.105882352941176 0.233766233766234 0.25 0.260416666666667 0.261363636363636 0.119047619047619 0.391304347826087 0.254901960784314 0.48780487804878 0.230769230769231 0.205128205128205 0.157894736842105 0.6
"Tcf3" 0.0588235294117647 0.201298701298701 0.351851851851852 0.177083333333333 0.352272727272727 0.0357142857142857 0.231884057971014 0.0588235294117647 0.268292682926829 0.205128205128205 0.282051282051282 0.289473684210526 0.16
"Vmn1r214" 0.0117647058823529 0.0194805194805195 0 0.0416666666666667 0 0.0476190476190476 0.0144927536231884 0.0784313725490196 0 0.0256410256410256 0.0256410256410256 0.0263157894736842 0
"Atf2" 0.0764705882352941 0.168831168831169 0.175925925925926 0.197916666666667 0.170454545454545 0.0238095238095238 0.173913043478261 0.137254901960784 0.0975609756097561 0.128205128205128 0.179487179487179 0.184210526315789 0.16
"Togaram1" 0 0.0649350649350649 0.0740740740740741 0.0833333333333333 0.0681818181818182 0 0.072463768115942 0.0392156862745098 0.0975609756097561 0 0.102564102564103 0.0526315789473684 0
"Ankrd33b" 0 0.0454545454545455 0.00925925925925926 0 0.0227272727272727 0 0.0144927536231884 0.0784313725490196 0.268292682926829 0.307692307692308 0 0.157894736842105 0.04
"Hjurp" 0.1 0.214285714285714 0.175925925925926 0.197916666666667 0.125 0.0595238095238095 0.260869565217391 0.235294117647059 0.24390243902439 0.0512820512820513 0.435897435897436 0.157894736842105 0.04
"Sema4d" 0.00588235294117647 0.0454545454545455 0.0185185185185185 0.0625 0.0227272727272727 0.154761904761905 0.0289855072463768 0.117647058823529 0.121951219512195 0.0512820512820513 0.102564102564103 0 0.28
"Ikzf2" 0.0176470588235294 0.0324675324675325 0.0462962962962963 0.0729166666666667 0.0227272727272727 0.0238095238095238 0.0144927536231884 0.411764705882353 0.0731707317073171 0 0.0256410256410256 0 0.04
"Ssr2" 0.952941176470588 0.831168831168831 0.824074074074074 0.760416666666667 1.19318181818182 0.761904761904762 0.695652173913043 0.529411764705882 0.585365853658537 0.384615384615385 0.564102564102564 0.368421052631579 0.72
"Ctdspl2" 0.0588235294117647 0.207792207792208 0.203703703703704 0.25 0.215909090909091 0.25 0.289855072463768 0.392156862745098 0.121951219512195 0.153846153846154 0.128205128205128 0.184210526315789 0.36
"Atp13a2" 0.117647058823529 0.038961038961039 0.0740740740740741 0.0729166666666667 0.0681818181818182 0 0.130434782608696 0.176470588235294 0.0975609756097561 0.384615384615385 0.282051282051282 0.0789473684210526 0.08
"Nmi" 0.0647058823529412 0.194805194805195 0.185185185185185 0.208333333333333 0.102272727272727 0 0.289855072463768 0.274509803921569 0.292682926829268 0.230769230769231 0.179487179487179 0.131578947368421 0.04
"Smox" 0.0941176470588235 0.116883116883117 0.0740740740740741 0.0416666666666667 0.147727272727273 0 0.159420289855072 0.450980392156863 0.0975609756097561 0.0512820512820513 0.205128205128205 0.447368421052632 0.08
"Pan3" 0.235294117647059 0.324675324675325 0.333333333333333 0.552083333333333 0.477272727272727 0.988095238095238 0.565217391304348 0.607843137254902 0.707317073170732 0.564102564102564 0.846153846153846 0.605263157894737 0.52
"Gart" 0.0235294117647059 0.038961038961039 0.12037037037037 0.125 0.102272727272727 0.0238095238095238 0.115942028985507 0.0980392156862745 0.024390243902439 0.0769230769230769 0.230769230769231 0.0526315789473684 0.08
"Ube2m" 0.0764705882352941 0.233766233766234 0.240740740740741 0.302083333333333 0.215909090909091 0 0.260869565217391 0.333333333333333 0.219512195121951 0.333333333333333 0.153846153846154 0.0789473684210526 0.08
"Agap2" 0 0.012987012987013 0.00925925925925926 0.0208333333333333 0 0 0.0434782608695652 0.0784313725490196 0 0 0 0 0
"2610002M06Rik" 0.0352941176470588 0.0974025974025974 0.0462962962962963 0.0625 0.0454545454545455 0.0357142857142857 0.0869565217391304 0.0588235294117647 0.0487804878048781 0.0256410256410256 0.0512820512820513 0.0263157894736842 0.08
"Mefv" 0 0 0 0 0 0 0 0.0784313725490196 0 0.0256410256410256 0 0 0
"Srsf11" 0.464705882352941 0.62987012987013 0.648148148148148 0.489583333333333 0.545454545454545 0.380952380952381 0.594202898550725 0.607843137254902 0.75609756097561 0.435897435897436 0.974358974358974 0.394736842105263 0.32
"Atp5h" 1.82941176470588 1.23376623376623 1.24074074074074 1.67708333333333 1.26136363636364 1.11904761904762 1.65217391304348 1.94117647058824 2.12195121951219 1.53846153846154 2.07692307692308 1.84210526315789 1.4
"Cd34" 2.27058823529412 3.37662337662338 6.55555555555556 2.5 2.875 2.25 2.18840579710145 0.254901960784314 3.24390243902439 0.0512820512820513 1.12820512820513 3.39473684210526 0.36
"Ubn2" 0.0941176470588235 0.233766233766234 0.305555555555556 0.385416666666667 0.193181818181818 0.535714285714286 0.36231884057971 0.176470588235294 0.170731707317073 0.102564102564103 0.0512820512820513 0.105263157894737 0.16
"Pkhd1l1" 0.0235294117647059 0 0 0 0 0 0 0 0.170731707317073 0 0.333333333333333 0.0263157894736842 0.04
"Atp11b" 0.0588235294117647 0.123376623376623 0.185185185185185 0.1875 0.227272727272727 0.0714285714285714 0.188405797101449 0.176470588235294 0.121951219512195 0.153846153846154 0.230769230769231 0.105263157894737 0.08
"CAAA01147332.1" 0 0.00649350649350649 0.037037037037037 0.0520833333333333 0.0227272727272727 0 0.0289855072463768 0 0 0.0256410256410256 0 0 0
"Drosha" 0.0352941176470588 0.0974025974025974 0.0555555555555556 0.0625 0.113636363636364 0 0.130434782608696 0.0196078431372549 0.170731707317073 0 0.0512820512820513 0.0526315789473684 0.12
"Pign" 0.105882352941176 0.123376623376623 0.212962962962963 0.135416666666667 0.136363636363636 0.202380952380952 0.101449275362319 0.0784313725490196 0.0975609756097561 0.179487179487179 0.102564102564103 0 0
"Mtx3" 0 0.0194805194805195 0.00925925925925926 0.0208333333333333 0.0454545454545454 0.0238095238095238 0.0579710144927536 0.0196078431372549 0 0.0256410256410256 0.0256410256410256 0.0263157894736842 0
"Tgfbrap1" 0 0.0324675324675325 0.037037037037037 0.03125 0.0568181818181818 0 0.0289855072463768 0.0392156862745098 0 0.205128205128205 0 0.0263157894736842 0.08
