"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
"Sppl3" 0.151750972762646 0.3104 0.230636833046472 0.28433734939759 0.24390243902439 0.192592592592593 0.263157894736842 0.260504201680672 0.0833333333333333 0.26890756302521 0.364705882352941 0.0681818181818182
"Zfp638" 0.110246433203632 0.2304 0.185886402753873 0.175903614457831 0.192411924119241 0.185185185185185 0.210526315789474 0.256302521008403 0.177083333333333 0.218487394957983 0.211764705882353 0.0681818181818182
"Dohh" 0.345006485084306 0.5456 0.457831325301205 0.486746987951807 0.604336043360434 0.407407407407407 0.319838056680162 0.453781512605042 0.197916666666667 0.621848739495798 0.352941176470588 0.136363636363636
"Ctc1" 0.0311284046692607 0.0384 0.0550774526678141 0.0506024096385542 0.035230352303523 0.0703703703703704 0.0364372469635627 0.0378151260504202 0.0104166666666667 0.0420168067226891 0.0705882352941176 0.0227272727272727
"Plcb4" 1.28664072632944 1.776 1.27022375215146 1.31807228915663 1.5230352303523 1.34444444444444 0.412955465587045 0.487394957983193 1.16145833333333 0.714285714285714 0.623529411764706 1.15909090909091
"Fgf15" 0.00259403372243839 0.008 0.00516351118760757 0 0.00542005420054201 0.0037037037037037 0 0 0 0.00840336134453781 0 0
"Lrig3" 0.0700389105058366 0.1184 0.139414802065404 0.159036144578313 0.151761517615176 0.159259259259259 0.194331983805668 0.168067226890756 0.09375 0.142857142857143 0.0588235294117647 0.0227272727272727
"Trak1" 0.102464332036316 0.2864 0.194492254733219 0.279518072289157 0.287262872628726 0.196296296296296 0.109311740890688 0.134453781512605 0.0520833333333333 0.310924369747899 0.294117647058823 0.0454545454545455
"Smarcc1" 0.0830090791180285 0.1664 0.172117039586919 0.185542168674699 0.219512195121951 0.151851851851852 0.145748987854251 0.176470588235294 0.046875 0.176470588235294 0.164705882352941 0.0227272727272727
"Endov" 0.053177691309987 0.0768 0.0705679862306368 0.103614457831325 0.105691056910569 0.062962962962963 0.048582995951417 0.105042016806723 0.0416666666666667 0.0672268907563025 0.0470588235294118 0.0227272727272727
"Ipmk" 0.0350194552529183 0.1184 0.0774526678141136 0.0939759036144578 0.111111111111111 0.1 0.0364372469635627 0.0546218487394958 0.046875 0.0504201680672269 0.117647058823529 0
"Stxbp4" 0.0298313878080415 0.0736 0.0602409638554217 0.0674698795180723 0.0569105691056911 0.0925925925925926 0.0850202429149798 0.0672268907563025 0.0104166666666667 0.0336134453781513 0.0588235294117647 0
"Adam33" 0.249027237354086 0.6608 0.411359724612737 0.575903614457831 0.466124661246612 0.562962962962963 0.145748987854251 0.172268907563025 0.192708333333333 0.336134453781513 0.435294117647059 0.0909090909090909
"Ncoa2" 0.053177691309987 0.104 0.110154905335628 0.125301204819277 0.127371273712737 0.151851851851852 0.0890688259109312 0.0756302521008403 0.0885416666666667 0.126050420168067 0.0941176470588235 0
"Tcp11" 0 0.0032 0.00172117039586919 0.0120481927710843 0.010840108401084 0.0037037037037037 0.00404858299595142 0.00840336134453781 0 0 0 0
"Fgf12" 0 0 0.00172117039586919 0 0.002710027100271 0 0.00404858299595142 0.176470588235294 0.0104166666666667 0.00840336134453781 0 0
"Ccdc137" 0.059662775616083 0.0736 0.080895008605852 0.091566265060241 0.0975609756097561 0.107407407407407 0.0931174089068826 0.117647058823529 0.046875 0.0756302521008403 0.0705882352941176 0.0454545454545455
"Mapre3" 0.176394293125811 0.424 0.323580034423408 0.387951807228916 0.395663956639566 0.3 0.153846153846154 0.336134453781513 0.145833333333333 0.310924369747899 0.364705882352941 0.0227272727272727
"Frmd4a" 0.0389105058365759 0.1152 0.0774526678141136 0.130120481927711 0.130081300813008 0.0777777777777778 0.157894736842105 0.0420168067226891 0.0625 0.176470588235294 0.105882352941176 0
