"0" "1" "2" "3" "4" "5" "6" "7"
"Higd1b" 0.1 0 0.00970873786407767 0 0 0 0 0
"Inpp4a" 0.207692307692308 0.188679245283019 0.805825242718447 0.450549450549451 0.25609756097561 0.627450980392157 0.170212765957447 0.157894736842105
"Ralgps1" 0.0230769230769231 0.00943396226415094 0 0.0549450549450549 0 0.0784313725490196 0 0
"Ccdc114" 0.00769230769230769 0.0754716981132075 0.0485436893203883 0.021978021978022 0.0609756097560976 0.0784313725490196 0.0425531914893617 0
"Eml2" 0.107692307692308 0.245283018867925 0.58252427184466 0.120879120879121 0.121951219512195 0.392156862745098 0.106382978723404 0
"Pfdn6" 0.523076923076923 0.613207547169811 0.718446601941747 0.527472527472527 0.353658536585366 0.666666666666667 0.48936170212766 0.684210526315789
"Cep128" 0.0307692307692308 0.0188679245283019 0.0388349514563107 0.021978021978022 0.048780487804878 0.0196078431372549 0 0
"Nek1" 0.00769230769230769 0.0660377358490566 0.0679611650485437 0.021978021978022 0.024390243902439 0.137254901960784 0.0212765957446809 0
"Armc2" 0 0 0.0194174757281553 0.010989010989011 0 0.117647058823529 0.0212765957446809 0
"Ccar2" 0 0.0471698113207547 0.0485436893203883 0.043956043956044 0.0609756097560976 0.0392156862745098 0.0638297872340425 0
"Pex12" 0.00769230769230769 0.0849056603773585 0 0.021978021978022 0.0975609756097561 0.0196078431372549 0 0
"Phf3" 0.0846153846153846 0.19811320754717 0.155339805825243 0.197802197802198 0.207317073170732 0.156862745098039 0.106382978723404 0
"Sox8" 0 0.00943396226415094 0.029126213592233 0 0.048780487804878 0 0 0
"Pcbp2" 0.0846153846153846 0.311320754716981 0.359223300970874 0.494505494505494 0.402439024390244 0.411764705882353 0.276595744680851 0.105263157894737
"Golph3" 0.176923076923077 0.367924528301887 0.29126213592233 0.32967032967033 1.15853658536585 0.333333333333333 0.446808510638298 0.210526315789474
"Tnnt2" 0.0846153846153846 0.0566037735849057 0.407766990291262 0 0.024390243902439 0.0392156862745098 0.25531914893617 0
"Ankrd13d" 0.0153846153846154 0.0377358490566038 0.0388349514563107 0.032967032967033 0.024390243902439 0.0588235294117647 0.0425531914893617 0
"Luc7l3" 0.569230769230769 0.490566037735849 0.572815533980582 0.626373626373626 0.560975609756098 0.588235294117647 0.25531914893617 0.210526315789474
"Ypel3" 1.30769230769231 1.33018867924528 1.57281553398058 2.40659340659341 1.15853658536585 1.90196078431373 2.25531914893617 1.57894736842105
"Mapk8" 0.0230769230769231 0.169811320754717 0.00970873786407767 0.0659340659340659 0.0853658536585366 0.156862745098039 0.0425531914893617 0
"Amn1" 0.0615384615384615 0.179245283018868 0.116504854368932 0.175824175824176 0.182926829268293 0.196078431372549 0.170212765957447 0
"Prss23" 1 1.22641509433962 2.04854368932039 0.0549450549450549 0.121951219512195 0.941176470588235 1.42553191489362 0.631578947368421
"Ccdc22" 0 0 0 0.021978021978022 0 0.0196078431372549 0 0
"Pgap3" 0.00769230769230769 0.0566037735849057 0.029126213592233 0.021978021978022 0.0487804878048781 0.0588235294117647 0 0.0526315789473684
"Mcm3ap" 0.0153846153846154 0.0849056603773585 0.0679611650485437 0.10989010989011 0.0609756097560976 0.0392156862745098 0.0425531914893617 0
"Znhit6" 0.0230769230769231 0.169811320754717 0.106796116504854 0.0659340659340659 0.841463414634146 0.156862745098039 0.0851063829787234 0
"Ndufb5" 1.86923076923077 1.72641509433962 1.97087378640777 1.49450549450549 1.5609756097561 1.92156862745098 1.93617021276596 1.36842105263158
"Ramp2" 0.253846153846154 0.0471698113207547 0 0.021978021978022 0.609756097560976 0.0980392156862745 1 0
"Camk2g" 0.0692307692307692 0.292452830188679 0.640776699029126 0.0879120879120879 0.170731707317073 0.274509803921569 0.0638297872340425 0
"Ccdc50" 0.0461538461538461 0.273584905660377 0.368932038834951 0.428571428571429 0.182926829268293 0.392156862745098 0.382978723404255 0.105263157894737
"Rad17" 0 0.113207547169811 0.145631067961165 0.0659340659340659 0.146341463414634 0.117647058823529 0.0638297872340425 0.0263157894736842
"Rps27a" 5.09230769230769 4.52830188679245 4.45631067961165 7.26373626373626 5.4390243902439 4.58823529411765 4.46808510638298 5.5
"Sardh" 0.00769230769230769 0.160377358490566 0.0970873786407767 0.010989010989011 0.170731707317073 0.156862745098039 0.0212765957446809 0.0789473684210526
"Lss" 0 0.0377358490566038 0.029126213592233 0 0.024390243902439 0.0784313725490196 0.0638297872340425 0
"Hibadh" 0.138461538461538 0.349056603773585 0.631067961165048 0.175824175824176 0.304878048780488 0.627450980392157 0.276595744680851 0
"Ssbp2" 0.146153846153846 0.471698113207547 0.563106796116505 0.0879120879120879 0.24390243902439 0.490196078431373 0.382978723404255 0.0789473684210526
"2410002F23Rik" 0.0153846153846154 0.113207547169811 0.106796116504854 0.120879120879121 0.146341463414634 0.117647058823529 0 0
"Josd2" 0.953846153846154 0.613207547169811 1.14563106796116 0.285714285714286 0.719512195121951 0.764705882352941 0.446808510638298 0.657894736842105
"Saa2" 0 0.0188679245283019 0 0 0.402439024390244 0 0 0
"Tcf3" 0.0692307692307692 0.141509433962264 0.12621359223301 0.175824175824176 0.231707317073171 0.0392156862745098 0.25531914893617 0.0263157894736842
"Vsig10l" 0.0153846153846154 0.00943396226415094 0.00970873786407767 0.021978021978022 0 0 0.0212765957446809 0
"Vmn1r214" 0 0.00943396226415094 0 0 0.024390243902439 0.0196078431372549 0 0.0526315789473684
"Atf2" 0.0153846153846154 0.132075471698113 0.16504854368932 0.131868131868132 0.121951219512195 0.294117647058824 0.0212765957446809 0
"Togaram1" 0.00769230769230769 0.0849056603773585 0.0388349514563107 0.010989010989011 0.0609756097560976 0.117647058823529 0.0638297872340425 0
"Hjurp" 0.0307692307692308 0.113207547169811 0.0970873786407767 0.043956043956044 0.158536585365854 0.0980392156862745 0.106382978723404 0
"Sema4d" 0 0 0.0388349514563107 0.483516483516484 0.0121951219512195 0.0196078431372549 0.0212765957446809 0.0263157894736842
"Ikzf2" 0 0.0471698113207547 0.029126213592233 0 0.024390243902439 0.137254901960784 0 0.0789473684210526
"Ssr2" 1.64615384615385 1.72641509433962 1.32038834951456 0.89010989010989 2.64634146341463 1.45098039215686 1.68085106382979 1.15789473684211
"Ctdspl2" 0.00769230769230769 0.122641509433962 0.0679611650485437 0.0659340659340659 0.0975609756097561 0.176470588235294 0.170212765957447 0
"Atp13a2" 0.0461538461538462 0.0660377358490566 0.0194174757281553 0.571428571428571 0.0487804878048781 0.0980392156862745 0.106382978723404 0.263157894736842
"Nmi" 0.0692307692307692 0.113207547169811 0.233009708737864 0.164835164835165 0.0975609756097561 0.235294117647059 0.0851063829787234 0
"Smox" 0.0230769230769231 0.0566037735849057 0.00970873786407767 0.373626373626374 0.0365853658536585 0.0588235294117647 0.0638297872340425 0.0263157894736842
"Pan3" 0.261538461538461 0.339622641509434 0.213592233009709 0.582417582417582 0.439024390243902 0.313725490196078 0.361702127659574 0
"Gart" 0.0461538461538462 0.188679245283019 0.0679611650485437 0.131868131868132 0.121951219512195 0.0980392156862745 0.0425531914893617 0
